file_name,total,autoclitic_relation,autoclitic_relation_ratio,descriptive_relation,descriptive_relation_ratio,genealogical_relation,genealogical_relation_ratio,historical_event_relation,historical_event_relation_ratio,lyrical_relation,lyrical_relation_ratio,prophetic_relation,prophetic_relation_ratio,reported_speech,reported_speech_ratio,request_relation,request_relation_ratio,wisdom_relation,wisdom_relation_ratio
bible_BKR_Ef.txt,40,1,0.025,2,0.05,0,0.0,14,0.35,4,0.1,6,0.15,8,0.2,2,0.05,3,0.075
bible_BKR_Est.txt,40,2,0.05,1,0.025,3,0.075,7,0.175,6,0.15,4,0.1,12,0.3,4,0.1,1,0.025
bible_BKR_Ex.txt,40,0,0.0,8,0.2,4,0.1,6,0.15,7,0.175,5,0.125,6,0.15,4,0.1,0,0.0
bible_BKR_Ez.txt,40,0,0.0,3,0.075,1,0.025,8,0.2,10,0.25,4,0.1,10,0.25,4,0.1,0,0.0
bible_BKR_Ezd.txt,40,4,0.1,5,0.125,2,0.05,6,0.15,6,0.15,2,0.05,8,0.2,7,0.175,0,0.0
bible_BKR_Fm.txt,25,1,0.04,5,0.2,4,0.16,2,0.08,1,0.04,1,0.04,3,0.12,6,0.24,2,0.08
bible_BKR_Fp.txt,40,3,0.075,8,0.2,2,0.05,4,0.1,9,0.225,3,0.075,8,0.2,1,0.025,2,0.05
bible_BKR_Ga.txt,40,0,0.0,7,0.175,4,0.1,2,0.05,3,0.075,8,0.2,13,0.325,1,0.025,2,0.05
bible_BKR_Gn.txt,40,1,0.025,6,0.15,2,0.05,10,0.25,3,0.075,1,0.025,10,0.25,6,0.15,1,0.025
bible_BKR_Iz.txt,40,0,0.0,6,0.15,3,0.075,3,0.075,7,0.175,4,0.1,8,0.2,6,0.15,3,0.075
bible_BKR_J.txt,40,2,0.05,2,0.05,1,0.025,8,0.2,4,0.1,2,0.05,9,0.225,6,0.15,6,0.15
bible_BKR_Jb.txt,40,5,0.125,4,0.1,2,0.05,7,0.175,5,0.125,3,0.075,5,0.125,6,0.15,3,0.075
bible_BKR_Jk.txt,40,0,0.0,6,0.15,3,0.075,10,0.25,5,0.125,6,0.15,4,0.1,4,0.1,2,0.05
bible_BKR_Jl.txt,40,3,0.075,3,0.075,0,0.0,7,0.175,6,0.15,4,0.1,6,0.15,7,0.175,4,0.1
bible_BKR_Jon.txt,40,1,0.025,7,0.175,1,0.025,10,0.25,4,0.1,3,0.075,5,0.125,6,0.15,3,0.075
bible_BKR_Joz.txt,40,2,0.05,4,0.1,3,0.075,6,0.15,3,0.075,5,0.125,8,0.2,7,0.175,2,0.05
bible_BKR_Jr.txt,40,0,0.0,8,0.2,1,0.025,7,0.175,4,0.1,4,0.1,11,0.275,2,0.05,3,0.075
bible_BKR_Ju.txt,25,0,0.0,9,0.36,0,0.0,6,0.24,3,0.12,1,0.04,1,0.04,3,0.12,2,0.08
bible_BKR_Kaz.txt,40,1,0.025,10,0.25,1,0.025,8,0.2,8,0.2,2,0.05,6,0.15,2,0.05,2,0.05
bible_BKR_Ko.txt,40,3,0.075,8,0.2,1,0.025,6,0.15,4,0.1,7,0.175,6,0.15,3,0.075,2,0.05
bible_BKR_L.txt,40,0,0.0,6,0.15,0,0.0,4,0.1,8,0.2,6,0.15,8,0.2,6,0.15,2,0.05
bible_BKR_Lv.txt,40,2,0.05,4,0.1,2,0.05,3,0.075,5,0.125,2,0.05,7,0.175,12,0.3,3,0.075
bible_BKR_Mal.txt,40,3,0.075,3,0.075,5,0.125,4,0.1,5,0.125,3,0.075,6,0.15,10,0.25,1,0.025
bible_BKR_Mi.txt,40,1,0.025,6,0.15,2,0.05,3,0.075,6,0.15,1,0.025,6,0.15,9,0.225,6,0.15
bible_BKR_Mk.txt,40,1,0.025,8,0.2,0,0.0,6,0.15,4,0.1,5,0.125,5,0.125,4,0.1,7,0.175
bible_BKR_Mt.txt,40,0,0.0,6,0.15,1,0.025,7,0.175,2,0.05,5,0.125,7,0.175,8,0.2,4,0.1
bible_BKR_Na.txt,40,1,0.025,1,0.025,3,0.075,7,0.175,6,0.15,2,0.05,12,0.3,5,0.125,3,0.075
bible_BKR_Neh.txt,40,0,0.0,8,0.2,1,0.025,3,0.075,3,0.075,3,0.075,13,0.325,9,0.225,0,0.0
bible_BKR_Nu.txt,40,3,0.075,6,0.15,1,0.025,7,0.175,4,0.1,5,0.125,6,0.15,6,0.15,2,0.05
bible_BKR_Oz.txt,40,2,0.05,3,0.075,1,0.025,5,0.125,6,0.15,7,0.175,9,0.225,5,0.125,2,0.05
bible_BKR_Pis.txt,40,2,0.05,3,0.075,5,0.125,5,0.125,4,0.1,2,0.05,10,0.25,6,0.15,3,0.075
bible_BKR_Pl.txt,40,1,0.025,4,0.1,2,0.05,7,0.175,8,0.2,4,0.1,6,0.15,8,0.2,0,0.0
bible_BKR_Pr.txt,40,3,0.075,7,0.175,5,0.125,5,0.125,3,0.075,1,0.025,8,0.2,5,0.125,3,0.075
bible_BKR_R.txt,40,1,0.025,9,0.225,2,0.05,5,0.125,4,0.1,3,0.075,10,0.25,4,0.1,2,0.05
bible_BKR_Rt.txt,40,2,0.05,4,0.1,2,0.05,8,0.2,3,0.075,3,0.075,11,0.275,2,0.05,5,0.125
bible_BKR_Sd.txt,40,1,0.025,3,0.075,2,0.05,8,0.2,6,0.15,4,0.1,6,0.15,4,0.1,6,0.15
bible_BKR_Sf.txt,40,0,0.0,2,0.05,2,0.05,9,0.225,5,0.125,5,0.125,7,0.175,6,0.15,4,0.1
bible_BKR_Sk.txt,40,4,0.1,4,0.1,2,0.05,3,0.075,7,0.175,1,0.025,10,0.25,5,0.125,4,0.1
bible_BKR_Tit.txt,40,2,0.05,3,0.075,2,0.05,6,0.15,2,0.05,6,0.15,8,0.2,7,0.175,4,0.1
bible_BKR_Z.txt,40,1,0.025,3,0.075,1,0.025,7,0.175,9,0.225,5,0.125,8,0.2,5,0.125,1,0.025
bible_BKR_Za.txt,40,0,0.0,4,0.1,1,0.025,7,0.175,6,0.15,0,0.0,10,0.25,4,0.1,8,0.2
bible_BKR_Zd.txt,40,3,0.075,2,0.05,3,0.075,9,0.225,3,0.075,3,0.075,8,0.2,6,0.15,3,0.075
bible_BKR_Zj.txt,40,0,0.0,3,0.075,2,0.05,9,0.225,3,0.075,2,0.05,10,0.25,8,0.2,3,0.075
