primary_intention,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
condemning,bible_BKR_Jk.txt,3,40,0.075,0.0661,0.0374,0.239,24
condemning,bible_BKR_Jl.txt,2,40,0.05,0.0661,0.0374,-0.43,45
condemning,bible_BKR_Jon.txt,1,40,0.025,0.0661,0.0374,-1.099,57
condemning,bible_BKR_Joz.txt,2,40,0.05,0.0661,0.0374,-0.43,46
condemning,bible_BKR_Jr.txt,4,40,0.1,0.0661,0.0374,0.908,14
condemning,bible_BKR_Ju.txt,3,25,0.12,0.0661,0.0374,1.443,7
condemning,bible_BKR_Kaz.txt,3,40,0.075,0.0661,0.0374,0.239,25
condemning,bible_BKR_Ko.txt,2,40,0.05,0.0661,0.0374,-0.43,47
condemning,bible_BKR_L.txt,1,40,0.025,0.0661,0.0374,-1.099,58
condemning,bible_BKR_Lv.txt,3,40,0.075,0.0661,0.0374,0.239,26
condemning,bible_BKR_Mal.txt,3,40,0.075,0.0661,0.0374,0.239,27
condemning,bible_BKR_Mi.txt,3,40,0.075,0.0661,0.0374,0.239,28
condemning,bible_BKR_Mk.txt,2,40,0.05,0.0661,0.0374,-0.43,48
condemning,bible_BKR_Mt.txt,4,40,0.1,0.0661,0.0374,0.908,15
condemning,bible_BKR_Na.txt,2,40,0.05,0.0661,0.0374,-0.43,49
condemning,bible_BKR_Neh.txt,3,40,0.075,0.0661,0.0374,0.239,29
condemning,bible_BKR_Nu.txt,2,40,0.05,0.0661,0.0374,-0.43,50
condemning,bible_BKR_Oz.txt,4,40,0.1,0.0661,0.0374,0.908,16
condemning,bible_BKR_Pis.txt,1,40,0.025,0.0661,0.0374,-1.099,59
condemning,bible_BKR_Pl.txt,2,40,0.05,0.0661,0.0374,-0.43,51
condemning,bible_BKR_Pr.txt,3,40,0.075,0.0661,0.0374,0.239,30
condemning,bible_BKR_R.txt,2,40,0.05,0.0661,0.0374,-0.43,52
condemning,bible_BKR_Rt.txt,0,40,0.0,0.0661,0.0374,-1.768,65
condemning,bible_BKR_Sd.txt,4,40,0.1,0.0661,0.0374,0.908,17
condemning,bible_BKR_Sf.txt,0,40,0.0,0.0661,0.0374,-1.768,66
condemning,bible_BKR_Sk.txt,1,40,0.025,0.0661,0.0374,-1.099,60
condemning,bible_BKR_Tit.txt,3,40,0.075,0.0661,0.0374,0.239,31
condemning,bible_BKR_Z.txt,3,40,0.075,0.0661,0.0374,0.239,32
condemning,bible_BKR_Za.txt,1,40,0.025,0.0661,0.0374,-1.099,61
condemning,bible_BKR_Zd.txt,3,40,0.075,0.0661,0.0374,0.239,33
condemning,bible_BKR_Zj.txt,3,40,0.075,0.0661,0.0374,0.239,34
declaring,bible_BKR_1J.txt,7,40,0.175,0.075,0.0436,2.296,1
declaring,bible_BKR_1K.txt,6,40,0.15,0.075,0.0436,1.722,2
declaring,bible_BKR_1Kr.txt,4,40,0.1,0.075,0.0436,0.574,14
declaring,bible_BKR_1P.txt,2,40,0.05,0.075,0.0436,-0.573,42
declaring,bible_BKR_1Pa.txt,3,40,0.075,0.075,0.0436,0.001,30
declaring,bible_BKR_1S.txt,2,40,0.05,0.075,0.0436,-0.573,43
declaring,bible_BKR_1Te.txt,5,40,0.125,0.075,0.0436,1.148,5
declaring,bible_BKR_1Tm.txt,3,40,0.075,0.075,0.0436,0.001,31
declaring,bible_BKR_2J.txt,1,13,0.0769,0.075,0.0436,0.044,29
declaring,bible_BKR_2K.txt,0,40,0.0,0.075,0.0436,-1.721,59
declaring,bible_BKR_2Kr.txt,3,40,0.075,0.075,0.0436,0.001,32
declaring,bible_BKR_2P.txt,5,40,0.125,0.075,0.0436,1.148,6
declaring,bible_BKR_2Pa.txt,0,40,0.0,0.075,0.0436,-1.721,60
declaring,bible_BKR_2S.txt,3,40,0.075,0.075,0.0436,0.001,33
declaring,bible_BKR_2Te.txt,2,40,0.05,0.075,0.0436,-0.573,44
declaring,bible_BKR_2Tm.txt,4,40,0.1,0.075,0.0436,0.574,15
declaring,bible_BKR_3J.txt,0,15,0.0,0.075,0.0436,-1.721,61
declaring,bible_BKR_Abd.txt,2,21,0.0952,0.075,0.0436,0.464,28
declaring,bible_BKR_Abk.txt,5,40,0.125,0.075,0.0436,1.148,7
declaring,bible_BKR_Ag.txt,1,38,0.0263,0.075,0.0436,-1.117,54
declaring,bible_BKR_Am.txt,1,40,0.025,0.075,0.0436,-1.147,55
declaring,bible_BKR_Da.txt,4,40,0.1,0.075,0.0436,0.574,16
declaring,bible_BKR_Dt.txt,4,40,0.1,0.075,0.0436,0.574,17
declaring,bible_BKR_Ef.txt,0,40,0.0,0.075,0.0436,-1.721,62
declaring,bible_BKR_Est.txt,2,40,0.05,0.075,0.0436,-0.573,45
declaring,bible_BKR_Ex.txt,4,40,0.1,0.075,0.0436,0.574,18
declaring,bible_BKR_Ez.txt,2,40,0.05,0.075,0.0436,-0.573,46
declaring,bible_BKR_Ezd.txt,1,40,0.025,0.075,0.0436,-1.147,56
declaring,bible_BKR_Fm.txt,0,25,0.0,0.075,0.0436,-1.721,63
declaring,bible_BKR_Fp.txt,2,40,0.05,0.075,0.0436,-0.573,47
declaring,bible_BKR_Ga.txt,4,40,0.1,0.075,0.0436,0.574,19
declaring,bible_BKR_Gn.txt,4,40,0.1,0.075,0.0436,0.574,20
declaring,bible_BKR_Iz.txt,0,40,0.0,0.075,0.0436,-1.721,64
declaring,bible_BKR_J.txt,2,40,0.05,0.075,0.0436,-0.573,48
declaring,bible_BKR_Jb.txt,2,40,0.05,0.075,0.0436,-0.573,49
declaring,bible_BKR_Jk.txt,1,40,0.025,0.075,0.0436,-1.147,57
declaring,bible_BKR_Jl.txt,3,40,0.075,0.075,0.0436,0.001,34
declaring,bible_BKR_Jon.txt,5,40,0.125,0.075,0.0436,1.148,8
declaring,bible_BKR_Joz.txt,2,40,0.05,0.075,0.0436,-0.573,50
declaring,bible_BKR_Jr.txt,4,40,0.1,0.075,0.0436,0.574,21
declaring,bible_BKR_Ju.txt,0,25,0.0,0.075,0.0436,-1.721,65
declaring,bible_BKR_Kaz.txt,3,40,0.075,0.075,0.0436,0.001,35
declaring,bible_BKR_Ko.txt,3,40,0.075,0.075,0.0436,0.001,36
declaring,bible_BKR_L.txt,6,40,0.15,0.075,0.0436,1.722,3
declaring,bible_BKR_Lv.txt,0,40,0.0,0.075,0.0436,-1.721,66
declaring,bible_BKR_Mal.txt,3,40,0.075,0.075,0.0436,0.001,37
declaring,bible_BKR_Mi.txt,4,40,0.1,0.075,0.0436,0.574,22
declaring,bible_BKR_Mk.txt,5,40,0.125,0.075,0.0436,1.148,9
declaring,bible_BKR_Mt.txt,5,40,0.125,0.075,0.0436,1.148,10
declaring,bible_BKR_Na.txt,5,40,0.125,0.075,0.0436,1.148,11
declaring,bible_BKR_Neh.txt,4,40,0.1,0.075,0.0436,0.574,23
declaring,bible_BKR_Nu.txt,6,40,0.15,0.075,0.0436,1.722,4
declaring,bible_BKR_Oz.txt,1,40,0.025,0.075,0.0436,-1.147,58
declaring,bible_BKR_Pis.txt,3,40,0.075,0.075,0.0436,0.001,38
declaring,bible_BKR_Pl.txt,4,40,0.1,0.075,0.0436,0.574,24
declaring,bible_BKR_Pr.txt,3,40,0.075,0.075,0.0436,0.001,39
declaring,bible_BKR_R.txt,4,40,0.1,0.075,0.0436,0.574,25
declaring,bible_BKR_Rt.txt,5,40,0.125,0.075,0.0436,1.148,12
declaring,bible_BKR_Sd.txt,3,40,0.075,0.075,0.0436,0.001,40
declaring,bible_BKR_Sf.txt,4,40,0.1,0.075,0.0436,0.574,26
declaring,bible_BKR_Sk.txt,5,40,0.125,0.075,0.0436,1.148,13
declaring,bible_BKR_Tit.txt,3,40,0.075,0.075,0.0436,0.001,41
declaring,bible_BKR_Z.txt,2,40,0.05,0.075,0.0436,-0.573,51
declaring,bible_BKR_Za.txt,2,40,0.05,0.075,0.0436,-0.573,52
declaring,bible_BKR_Zd.txt,4,40,0.1,0.075,0.0436,0.574,27
declaring,bible_BKR_Zj.txt,2,40,0.05,0.075,0.0436,-0.573,53
ideological_contestation,bible_BKR_1J.txt,1,40,0.025,0.0193,0.0213,0.268,9
ideological_contestation,bible_BKR_1K.txt,1,40,0.025,0.0193,0.0213,0.268,10
ideological_contestation,bible_BKR_1Kr.txt,0,40,0.0,0.0193,0.0213,-0.906,40
ideological_contestation,bible_BKR_1P.txt,1,40,0.025,0.0193,0.0213,0.268,11
ideological_contestation,bible_BKR_1Pa.txt,1,40,0.025,0.0193,0.0213,0.268,12
ideological_contestation,bible_BKR_1S.txt,1,40,0.025,0.0193,0.0213,0.268,13
ideological_contestation,bible_BKR_1Te.txt,1,40,0.025,0.0193,0.0213,0.268,14
ideological_contestation,bible_BKR_1Tm.txt,0,40,0.0,0.0193,0.0213,-0.906,41
ideological_contestation,bible_BKR_2J.txt,0,13,0.0,0.0193,0.0213,-0.906,42
ideological_contestation,bible_BKR_2K.txt,4,40,0.1,0.0193,0.0213,3.789,1
ideological_contestation,bible_BKR_2Kr.txt,1,40,0.025,0.0193,0.0213,0.268,15
ideological_contestation,bible_BKR_2P.txt,1,40,0.025,0.0193,0.0213,0.268,16
ideological_contestation,bible_BKR_2Pa.txt,0,40,0.0,0.0193,0.0213,-0.906,43
ideological_contestation,bible_BKR_2S.txt,0,40,0.0,0.0193,0.0213,-0.906,44
ideological_contestation,bible_BKR_2Te.txt,0,40,0.0,0.0193,0.0213,-0.906,45
ideological_contestation,bible_BKR_2Tm.txt,1,40,0.025,0.0193,0.0213,0.268,17
ideological_contestation,bible_BKR_3J.txt,1,15,0.0667,0.0193,0.0213,2.226,4
ideological_contestation,bible_BKR_Abd.txt,0,21,0.0,0.0193,0.0213,-0.906,46
ideological_contestation,bible_BKR_Abk.txt,0,40,0.0,0.0193,0.0213,-0.906,47
ideological_contestation,bible_BKR_Ag.txt,1,38,0.0263,0.0193,0.0213,0.329,8
ideological_contestation,bible_BKR_Am.txt,1,40,0.025,0.0193,0.0213,0.268,18
ideological_contestation,bible_BKR_Da.txt,1,40,0.025,0.0193,0.0213,0.268,19
ideological_contestation,bible_BKR_Dt.txt,1,40,0.025,0.0193,0.0213,0.268,20
ideological_contestation,bible_BKR_Ef.txt,1,40,0.025,0.0193,0.0213,0.268,21
ideological_contestation,bible_BKR_Est.txt,1,40,0.025,0.0193,0.0213,0.268,22
ideological_contestation,bible_BKR_Ex.txt,1,40,0.025,0.0193,0.0213,0.268,23
ideological_contestation,bible_BKR_Ez.txt,1,40,0.025,0.0193,0.0213,0.268,24
ideological_contestation,bible_BKR_Ezd.txt,0,40,0.0,0.0193,0.0213,-0.906,48
ideological_contestation,bible_BKR_Fm.txt,2,25,0.08,0.0193,0.0213,2.85,2
ideological_contestation,bible_BKR_Fp.txt,1,40,0.025,0.0193,0.0213,0.268,25
ideological_contestation,bible_BKR_Ga.txt,2,40,0.05,0.0193,0.0213,1.442,5
ideological_contestation,bible_BKR_Gn.txt,1,40,0.025,0.0193,0.0213,0.268,26
ideological_contestation,bible_BKR_Iz.txt,0,40,0.0,0.0193,0.0213,-0.906,49
ideological_contestation,bible_BKR_J.txt,1,40,0.025,0.0193,0.0213,0.268,27
ideological_contestation,bible_BKR_Jb.txt,1,40,0.025,0.0193,0.0213,0.268,28
ideological_contestation,bible_BKR_Jk.txt,0,40,0.0,0.0193,0.0213,-0.906,50
ideological_contestation,bible_BKR_Jl.txt,0,40,0.0,0.0193,0.0213,-0.906,51
ideological_contestation,bible_BKR_Jon.txt,1,40,0.025,0.0193,0.0213,0.268,29
ideological_contestation,bible_BKR_Joz.txt,0,40,0.0,0.0193,0.0213,-0.906,52
ideological_contestation,bible_BKR_Jr.txt,1,40,0.025,0.0193,0.0213,0.268,30
ideological_contestation,bible_BKR_Ju.txt,0,25,0.0,0.0193,0.0213,-0.906,53
ideological_contestation,bible_BKR_Kaz.txt,1,40,0.025,0.0193,0.0213,0.268,31
ideological_contestation,bible_BKR_Ko.txt,2,40,0.05,0.0193,0.0213,1.442,6
ideological_contestation,bible_BKR_L.txt,2,40,0.05,0.0193,0.0213,1.442,7
ideological_contestation,bible_BKR_Lv.txt,0,40,0.0,0.0193,0.0213,-0.906,54
ideological_contestation,bible_BKR_Mal.txt,0,40,0.0,0.0193,0.0213,-0.906,55
ideological_contestation,bible_BKR_Mi.txt,0,40,0.0,0.0193,0.0213,-0.906,56
ideological_contestation,bible_BKR_Mk.txt,1,40,0.025,0.0193,0.0213,0.268,32
ideological_contestation,bible_BKR_Mt.txt,1,40,0.025,0.0193,0.0213,0.268,33
ideological_contestation,bible_BKR_Na.txt,0,40,0.0,0.0193,0.0213,-0.906,57
ideological_contestation,bible_BKR_Neh.txt,0,40,0.0,0.0193,0.0213,-0.906,58
ideological_contestation,bible_BKR_Nu.txt,1,40,0.025,0.0193,0.0213,0.268,34
ideological_contestation,bible_BKR_Oz.txt,0,40,0.0,0.0193,0.0213,-0.906,59
ideological_contestation,bible_BKR_Pis.txt,1,40,0.025,0.0193,0.0213,0.268,35
ideological_contestation,bible_BKR_Pl.txt,1,40,0.025,0.0193,0.0213,0.268,36
ideological_contestation,bible_BKR_Pr.txt,0,40,0.0,0.0193,0.0213,-0.906,60
ideological_contestation,bible_BKR_R.txt,1,40,0.025,0.0193,0.0213,0.268,37
ideological_contestation,bible_BKR_Rt.txt,0,40,0.0,0.0193,0.0213,-0.906,61
ideological_contestation,bible_BKR_Sd.txt,0,40,0.0,0.0193,0.0213,-0.906,62
ideological_contestation,bible_BKR_Sf.txt,0,40,0.0,0.0193,0.0213,-0.906,63
ideological_contestation,bible_BKR_Sk.txt,1,40,0.025,0.0193,0.0213,0.268,38
ideological_contestation,bible_BKR_Tit.txt,0,40,0.0,0.0193,0.0213,-0.906,64
ideological_contestation,bible_BKR_Z.txt,1,40,0.025,0.0193,0.0213,0.268,39
ideological_contestation,bible_BKR_Za.txt,0,40,0.0,0.0193,0.0213,-0.906,65
ideological_contestation,bible_BKR_Zd.txt,0,40,0.0,0.0193,0.0213,-0.906,66
ideological_contestation,bible_BKR_Zj.txt,3,40,0.075,0.0193,0.0213,2.616,3
intervention,bible_BKR_1J.txt,4,40,0.1,0.035,0.0307,2.115,2
intervention,bible_BKR_1K.txt,0,40,0.0,0.035,0.0307,-1.14,47
intervention,bible_BKR_1Kr.txt,1,40,0.025,0.035,0.0307,-0.326,32
intervention,bible_BKR_1P.txt,1,40,0.025,0.035,0.0307,-0.326,33
intervention,bible_BKR_1Pa.txt,1,40,0.025,0.035,0.0307,-0.326,34
intervention,bible_BKR_1S.txt,3,40,0.075,0.035,0.0307,1.301,4
intervention,bible_BKR_1Te.txt,3,40,0.075,0.035,0.0307,1.301,5
intervention,bible_BKR_1Tm.txt,2,40,0.05,0.035,0.0307,0.488,14
intervention,bible_BKR_2J.txt,0,13,0.0,0.035,0.0307,-1.14,48
intervention,bible_BKR_2K.txt,0,40,0.0,0.035,0.0307,-1.14,49
intervention,bible_BKR_2Kr.txt,4,40,0.1,0.035,0.0307,2.115,3
intervention,bible_BKR_2P.txt,2,40,0.05,0.035,0.0307,0.488,15
intervention,bible_BKR_2Pa.txt,2,40,0.05,0.035,0.0307,0.488,16
intervention,bible_BKR_2S.txt,0,40,0.0,0.035,0.0307,-1.14,50
intervention,bible_BKR_2Te.txt,2,40,0.05,0.035,0.0307,0.488,17
intervention,bible_BKR_2Tm.txt,1,40,0.025,0.035,0.0307,-0.326,35
intervention,bible_BKR_3J.txt,0,15,0.0,0.035,0.0307,-1.14,51
intervention,bible_BKR_Abd.txt,0,21,0.0,0.035,0.0307,-1.14,52
intervention,bible_BKR_Abk.txt,1,40,0.025,0.035,0.0307,-0.326,36
intervention,bible_BKR_Ag.txt,1,38,0.0263,0.035,0.0307,-0.284,31
intervention,bible_BKR_Am.txt,2,40,0.05,0.035,0.0307,0.488,18
intervention,bible_BKR_Da.txt,0,40,0.0,0.035,0.0307,-1.14,53
intervention,bible_BKR_Dt.txt,0,40,0.0,0.035,0.0307,-1.14,54
intervention,bible_BKR_Ef.txt,3,40,0.075,0.035,0.0307,1.301,6
intervention,bible_BKR_Est.txt,1,40,0.025,0.035,0.0307,-0.326,37
intervention,bible_BKR_Ex.txt,2,40,0.05,0.035,0.0307,0.488,19
intervention,bible_BKR_Ez.txt,0,40,0.0,0.035,0.0307,-1.14,55
intervention,bible_BKR_Ezd.txt,2,40,0.05,0.035,0.0307,0.488,20
intervention,bible_BKR_Fm.txt,3,25,0.12,0.035,0.0307,2.766,1
intervention,bible_BKR_Fp.txt,2,40,0.05,0.035,0.0307,0.488,21
intervention,bible_BKR_Ga.txt,0,40,0.0,0.035,0.0307,-1.14,56
intervention,bible_BKR_Gn.txt,3,40,0.075,0.035,0.0307,1.301,7
intervention,bible_BKR_Iz.txt,1,40,0.025,0.035,0.0307,-0.326,38
intervention,bible_BKR_J.txt,3,40,0.075,0.035,0.0307,1.301,8
intervention,bible_BKR_Jb.txt,2,40,0.05,0.035,0.0307,0.488,22
intervention,bible_BKR_Jk.txt,1,40,0.025,0.035,0.0307,-0.326,39
intervention,bible_BKR_Jl.txt,3,40,0.075,0.035,0.0307,1.301,9
intervention,bible_BKR_Jon.txt,2,40,0.05,0.035,0.0307,0.488,23
intervention,bible_BKR_Joz.txt,3,40,0.075,0.035,0.0307,1.301,10
intervention,bible_BKR_Jr.txt,2,40,0.05,0.035,0.0307,0.488,24
intervention,bible_BKR_Ju.txt,1,25,0.04,0.035,0.0307,0.162,30
intervention,bible_BKR_Kaz.txt,1,40,0.025,0.035,0.0307,-0.326,40
intervention,bible_BKR_Ko.txt,0,40,0.0,0.035,0.0307,-1.14,57
intervention,bible_BKR_L.txt,0,40,0.0,0.035,0.0307,-1.14,58
intervention,bible_BKR_Lv.txt,1,40,0.025,0.035,0.0307,-0.326,41
intervention,bible_BKR_Mal.txt,3,40,0.075,0.035,0.0307,1.301,11
intervention,bible_BKR_Mi.txt,2,40,0.05,0.035,0.0307,0.488,25
intervention,bible_BKR_Mk.txt,1,40,0.025,0.035,0.0307,-0.326,42
intervention,bible_BKR_Mt.txt,2,40,0.05,0.035,0.0307,0.488,26
intervention,bible_BKR_Na.txt,1,40,0.025,0.035,0.0307,-0.326,43
intervention,bible_BKR_Neh.txt,3,40,0.075,0.035,0.0307,1.301,12
intervention,bible_BKR_Nu.txt,0,40,0.0,0.035,0.0307,-1.14,59
intervention,bible_BKR_Oz.txt,1,40,0.025,0.035,0.0307,-0.326,44
intervention,bible_BKR_Pis.txt,2,40,0.05,0.035,0.0307,0.488,27
intervention,bible_BKR_Pl.txt,2,40,0.05,0.035,0.0307,0.488,28
intervention,bible_BKR_Pr.txt,0,40,0.0,0.035,0.0307,-1.14,60
intervention,bible_BKR_R.txt,0,40,0.0,0.035,0.0307,-1.14,61
intervention,bible_BKR_Rt.txt,3,40,0.075,0.035,0.0307,1.301,13
intervention,bible_BKR_Sd.txt,1,40,0.025,0.035,0.0307,-0.326,45
intervention,bible_BKR_Sf.txt,0,40,0.0,0.035,0.0307,-1.14,62
intervention,bible_BKR_Sk.txt,0,40,0.0,0.035,0.0307,-1.14,63
intervention,bible_BKR_Tit.txt,1,40,0.025,0.035,0.0307,-0.326,46
