file_name,total_sentences,avg_confidence,top3_description_types
bible_BKR_Mi.txt,40,0.599,narrative_event(7) > divine_speech(6) > covenant_formula(5)
bible_BKR_Mk.txt,40,0.584,narrative_event(8) > divine_speech(6) > wisdom_saying(6)
bible_BKR_Mt.txt,40,0.59,prophetic_oracle(8) > legal_injunction(7) > divine_speech(7)
bible_BKR_Na.txt,40,0.573,prophetic_oracle(10) > divine_speech(9) > covenant_formula(5)
bible_BKR_Neh.txt,40,0.567,narrative_event(8) > wisdom_saying(7) > divine_speech(7)
bible_BKR_Nu.txt,40,0.568,divine_speech(9) > legal_injunction(7) > prophetic_oracle(5)
bible_BKR_Oz.txt,40,0.616,legal_injunction(7) > prophetic_oracle(7) > lament(6)
bible_BKR_Pis.txt,40,0.562,prophetic_oracle(8) > divine_speech(7) > narrative_event(7)
bible_BKR_Pl.txt,40,0.547,prophetic_oracle(9) > divine_speech(8) > narrative_event(7)
bible_BKR_Pr.txt,40,0.596,narrative_event(7) > lament(6) > legal_injunction(6)
bible_BKR_R.txt,40,0.603,wisdom_saying(7) > legal_injunction(6) > divine_speech(5)
bible_BKR_Rt.txt,40,0.573,divine_speech(10) > wisdom_saying(7) > prophetic_oracle(7)
bible_BKR_Sd.txt,40,0.583,prophetic_oracle(8) > divine_speech(8) > narrative_event(6)
bible_BKR_Sf.txt,40,0.565,divine_speech(8) > wisdom_saying(6) > prophetic_oracle(6)
bible_BKR_Sk.txt,40,0.59,narrative_event(8) > prophetic_oracle(6) > wisdom_saying(6)
bible_BKR_Tit.txt,40,0.588,wisdom_saying(10) > narrative_event(6) > divine_speech(5)
bible_BKR_Z.txt,40,0.58,narrative_event(9) > wisdom_saying(8) > prophetic_oracle(5)
bible_BKR_Za.txt,40,0.555,divine_speech(11) > legal_injunction(7) > prophetic_oracle(5)
bible_BKR_Zd.txt,40,0.556,legal_injunction(9) > narrative_event(9) > divine_speech(7)
bible_BKR_Zj.txt,40,0.61,divine_speech(10) > legal_injunction(5) > wisdom_saying(5)
